orig_row_rec,Wbname_fin,EMU_site_irn,Island,Shehia_cleaned,include,Year,month,niclo_by_site,Date_ed,month_survey_order,Visit,Shname,Wbtype,wbtype_fin,Wbtype2_ed,no_collected,Bul_pres_ed,Bglob,Bfor,Lym,Mel,Cleo,Pila,Lan,Cera,Neri,Thiara,Othsnail,tot_pres_all_genera,pres_non_bulinids,Infsnails,Infsnails_no,niclo_order,niclo_visit,Date_appl_ed,sprayed_but_no_bul,sprayed_when_Bul_presy,sprayed_when_Bul_presn,Sprayed_Steffi_ed,Sprayed_Steffi,HS8,HS10,PS,Barreldrip,NumberofHudsonsprayersused,Volumeofwatersprayedwithmachine,Nicl,N_Duration_min,N_Duration_new,Timeofapplicationhhmm,Numberofsprayers,Notesappl,M_Notesappl,monthly_precip
2740,Mwanamanju B,498917,Unguja,BANDAMAJI,,2015,3,,19/03/2015,32,3,BANDAMAJI,RIVER,stream,temporary,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,27,2,19/03/2015,,1,0,1,1,1,0,0,0,2,,,10,10 min,10:45,1,,date of niclosamide was blank- added from survey date,232.4
2881,Mwananyota Ndogo,384838,Unguja,DONGE MCHANGANI,,2014,12,,01/12/2014,29,6,DONGE MCHANGANI,DAM,pond,temporary,3,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,24,1,01/12/2014,,1,0,1,1,0,0,1,0,2,,16,30,30 min,11:10,4,,date of niclosamide was blank- added from survey date,276
3550,Mwantenga A,384839,Unguja,NYERERE,,2012,10,o,31/10/2012,8,3,NYERERE,POND,zlarge pond,temporary,0,1,0,1,0,0,0,1,0,0,0,0,0,2,1,,,5,1,31/10/2012,,1,0,1,1,0,0,1,0,,,4,60,13:40:00,12:40,5,,date of niclosamide was blank- added from survey date,8.7
2931,Mzambarau Mchele,384842,Unguja,JENDELE,,2013,8,,01/08/2013,15,3,JENDELE,POND,pond,temporary,50,1,1,1,0,0,1,1,0,0,0,0,0,3,1,0,0,12,1,01/08/2013,,1,0,1,1,1,0,0,0,4,,320,35,11.05,10:00,3,,date of niclosamide was blank- added from survey date,17.7
2933,Mzambarau Mchele,384842,Unguja,JENDELE,,2014,12,,15/12/2014,29,5,JENDELE,POND,pond,temporary,5,1,1,0,0,0,1,1,0,0,0,0,0,3,1,0,0,24,2,15/12/2014,,1,0,1,1,1,0,0,0,2,,16,30,30 min,10:35,3,,date of niclosamide was blank- added from survey date,276
2934,Mzambarau Mchele,384842,Unguja,JENDELE,,2015,5,,18/05/2015,34,6,JENDELE,DAM,pond,temporary,13,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,3,18/05/2015,,1,0,1,1,1,0,0,0,3,,24,20,20 min,10:30,2,,date of niclosamide was blank- added from survey date,496.3
2936,Mzambarau Mchele,384842,Unguja,JENDELE,,2016,8,,22/08/2016,47,8,JENDELE,RICE PADDY,pond,temporary,7,1,1,1,0,0,1,1,0,0,0,0,0,3,1,0,0,42,4,22/08/2016,,1,0,1,1,0,1,0,0,3,,480,20,20 min,09:50,3,,date of niclosamide was blank- added from survey date,128.5
1900,Ndunundu,382738,Pemba,PIKI,,2012,8,o,16/08/2012,6,2,PIKI,,rice/stream,permanent,31,1,1,0,0,0,0,0,0,0,0,0,,1,0,,,3,1,16/08/2012,,1,0,1,1,1,0,0,0,3,24,,,,,,,date of niclosamide was blank- added from survey date,29.8
1901,Ndunundu,382738,Pemba,PIKI,,2012,10,y,09/10/2012,8,3,PIKI,RICE PADDY,rice/stream,permanent,13,1,1,0,0,0,0,0,0,0,0,0,,1,0,,,5,2,09/10/2012,,1,0,1,1,1,0,0,0,2,,,14,14 min,12:25,,,date of niclosamide was blank- added from survey date,8.7
1902,Ndunundu,382738,Pemba,PIKI,,2013,1,,16/01/2013,11,4,PIKI,RICE PADDY,rice/stream,permanent,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,8,3,16/01/2013,,1,0,1,1,1,0,0,0,1,8,,,,,,,date of niclosamide was blank- added from survey date,103
1904,Ndunundu,382738,Pemba,PIKI,,2013,8,o,03/08/2013,15,6,PIKI,"RICE PADDY, STREAM",rice/stream,permanent,4,1,1,0,0,0,0,0,0,0,0,0,,1,0,,,12,4,03/08/2013,,1,0,1,1,1,0,0,0,1,,,21,21 min,14:13:00,1,Used 8 litre hudson sprayer,date of niclosamide was blank- added from survey date,17.7
1906,Ndunundu,382738,Pemba,PIKI,,2014,1,o,19/01/2014,19,8,PIKI,RICE PADDY,rice/stream,permanent,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,16,6,19/01/2014,,1,0,1,1,1,0,0,0,1,,,13,13 min,10:51,1,,mismatch survey and orig niclosamide date format- no match to other records in survey data so likely original wrong,0.3
1908,Ndunundu,382738,Pemba,PIKI,,2014,8,o,31/08/2014,25,10,PIKI,RICE PADDY,rice/stream,permanent,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,20,7,31/08/2014,,1,0,1,1,1,0,0,0,1,,,13,13 min,12:04,1,,,44.8
1909,Ndunundu,382738,Pemba,PIKI,,2014,10,y,19/10/2014,27,11,PIKI,RICE PADDY,rice/stream,permanent,10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,22,8,19/10/2014,,1,0,1,1,1,0,0,0,1,,,12,12 min,01:08,1,,,54.6
1911,Ndunundu,382738,Pemba,PIKI,,2015,2,,08/02/2015,31,13,PIKI,RICE PADDY,rice/stream,permanent,13,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,26,10,08/02/2015,,1,0,1,1,1,0,0,0,1,,,12,12 min,10:27,1,,,11
1912,Ndunundu,382738,Pemba,PIKI,,2015,8,o,23/08/2015,37,14,PIKI,STREAM,rice/stream,permanent,31,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,32,11,23/08/2015,,1,0,1,1,1,0,0,0,2,,,24,24 min,03:14,2,,,57.8
1913,Ndunundu,382738,Pemba,PIKI,,2015,10,y,14/10/2015,39,15,PIKI,RICE PADDY,rice/stream,permanent,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,,34,12,14/10/2015,,1,0,1,1,0,0,0,0,,,,13,13 min,10:24,2,,M 2020- edited sprayed to '1',22.6
1914,Ndunundu,382738,Pemba,PIKI,,2016,8,o,27/08/2016,47,16,PIKI,RICE PADDY,rice/stream,permanent,28,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,42,13,27/08/2016,,1,0,1,1,1,0,0,0,2,,,12,12 min,01:31,2,,,128.5
1915,Ndunundu,382738,Pemba,PIKI,,2016,10,y,24/10/2016,49,17,PIKI,RICE PADDY,rice/stream,permanent,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,44,14,24/10/2016,,1,0,1,1,1,0,0,0,1,,,12,12 min,10:13,1,,,20
928,Nturuma,382742,Pemba,KISIWANI,,2012,8,o,29/08/2012,6,1,KISIWANI,RICE PADDY,stream,permanent,14,1,1,0,0,0,0,0,0,0,0,0,,1,0,,,3,1,29/08/2012,,1,0,1,1,1,0,0,0,9,72,,,,,,,date of niclosamide was blank- added from survey date,29.8
932,Nturuma,382742,Pemba,KISIWANI,,2013,8,o,11/08/2013,15,5,KISIWANI,"RICE PADDY, STREAM",stream,permanent,4,1,1,0,0,0,0,0,1,0,0,0,,2,1,,,12,4,11/08/2013,,1,0,1,1,1,0,0,0,1,,,14,14 min,13:12:00,1,Used 8 litre hudson sprayer,date of niclosamide was blank- added from survey date,17.7
934,Nturuma,382742,Pemba,KISIWANI,,2014,1,o,26/01/2014,19,7,KISIWANI,RICE PADDY,stream,permanent,,1,1,0,0,0,0,0,1,0,0,0,0,2,1,,,16,6,26/01/2014,,1,0,1,1,1,0,0,0,1,,,12,12 min,10:20,1,,,0.3
936,Nturuma,382742,Pemba,KISIWANI,,2014,9,o,02/09/2014,26,9,KISIWANI,RICE PADDY,stream,permanent,15,1,1,0,0,0,0,0,0,0,1,0,0,2,1,,,21,8,02/09/2014,,1,0,1,1,1,0,0,0,2,,,26,26 min,12:27,1,,,73.6
3571,Nyerere Kwa Mtumwa Jeni,384843,Unguja,NYERERE,,2013,8,o,05/08/2013,15,4,NYERERE,POND,pond,permanent,44,1,1,0,0,0,0,1,0,0,0,0,0,2,1,,,12,1,05/08/2013,,1,0,1,1,0,0,1,0,,,15,65,11:15:00,10:10,4,,date of niclosamide was blank- added from survey date,17.7
