orig_row_rec,temp_coll_data,comp_key_coll_data,Wbname_fin,EMU_site_irn,Shehia_cleaned,WB.shehia_edited,include,Year,month,month_year,Date.new,Date_ed,month_survey_order,Visit,Island,Shname,Wbname_orig,Wbname_ed,Wbtype,Wbtype_Fiona,Wbadapt_Steffi,wbtype_ed,wbtype_fin,georef_notes,Wbtype2,Wbtype2_Fiona,Wbtype2_Steffi,Wbtype2_ed,Ricecombined_Steffi,lat-long-edited,latitude,longitude,Lati_DD,Longi_DD,Lati_xls,Longi_xls,Lati_orig,Longi_orig,NotesGPS,site_dry,site_dry_ed,Village,time_sampling/time_in,time_sampling/time_out,time_in,time_out,mins_coll,ed_mins_coll,duration,M_time_note,snail_sp_coll_notesM,snail_sp_coll_ed,snail_sp_collected,no_collected,Bulinusspp_Steffi,Bul_pres_ed,Bglob,Bfor,Lym,Mel,Cleo,Pila,Lan,Cera,Neri,Thiara,Othsnail,pres_non_bulinids,Notessnail,notes_snails_M,Infsnails,Infsnails_no,Dateshed_new,Dateshed,Notesshed,Numberofcollectors,C1,C2,Notescoll,Alti,W_chem_notes_M,TDS,Temp,PH,Cond,Sal,Oxy,Flow_m/s,Flow_ed,Depth_m,Depth_ed,Wlevel,Wlevel_ed,Seas,Season,mud,sand,gravel,rock,concrete,peat,roots,Notessub,cow,sheep,goat,pig,horse,donkey,camel,Monkey,Ungu,carnivore,waterbird,Othwildan,Noteswian,Lilies,rushes,rice,waterhyacinth,macrophyteweed,palmfronds,sedge,grass,Polygonum,none,Otherveg,Notesveg,Dishes,bathing,Clothes,Carbike,Collectingwater,fording,swimmingplaying,fishing,Ricecult,otherfarming,sanitation,ablution,Otheract,Noteswact,niclo_order,niclo_visit,Date_appl_ed,Date_appl_new,date_application,sprayed_but_no_bul,sprayed_when_Bul_pres,Sprayed_Steffi_ed,Sprayed_Steffi,HS8,HS10,PS,Barreldrip,NumberofHudsonsprayersused,Volumeofwatersprayedwithmachine,Nicl,N_Duration_min,N_Duration_new,N_Duration,Timeofapplicationhhmm,Numberofsprayers,Notesappl,M_Notesappl,a.2012,y.1.2012,y.9.2012,a.2013,y.9.2013,a.2014,y.9.2014,a.2015,y.9.2015,a.2016,y.9.2016,a.2017,y.1.2017,y.9.2017,y.1.2018,y.9.2018,y.9.2019,a.2019,monthly_precip
1215,"collection: Bulinus globosus, 2",Kwamwanamwari_18.03.2014,Kwamwanamwari,382690,MBUZINI,,,2014,3,3_2014,18.03.2014,18/03/2014,21,7,Pemba,MBUZINI,KWAMWANAMWARI,KWAMWANAMWARI,RICE PADDY,,POND,zlarge pond,zlarge pond,,permanent,,permanent,permanent,1,,-5.18457,39.78178,-5.18457,39.78178,S 05 11. 074,039 46. 907,S 05.11.074,E 039.46.907,,,,MAVUNGWA JITENGE,12:27 PM,12:34:30 PM,12:27:00,12:34:30,00:07:30,00:07:30,8,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,4,,,,90,,93.1,31.4,9.8,195.2,0.1,,Still,0,>1,3,Low,2,Low,Dry,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,1,0,0,0,,1,1,1,0,0,0,1,1,1,1,0,1,1,Ablution,18,1,18/03/2014,18.03.2014,03.18.2014,,Y,y,0,0,0,0,0,,,,,,,,,,date application in month-day format- replaced with survey date; was negative for if sprayed but was a date,0,6.9,1.1,24,1.9,8,6,0,0,6,4.8,2,0.9,0,2.1,7.4,1.92,0,232.8
1628,,Kwamwanazabadi_02.08.2015,Kwamwanazabadi,382691,MSUKA MAGHARIBI,,,2015,8,8_2015,02.08.2015,02/08/2015,37,15,Pemba,MSUKA MAGHARIBI,KWAMWANAZABADI,KWAMWANAZABADI,RICE PADDY,,POND,zlarge pond,zlarge pond,"pond, floating vegetation",permanent,,permanent,permanent,1,,-4.9357,39.71983,-4.9357,39.71983,S 04 56. 142,039 43. 190,S 04.56.142,E 039.43.190,,,,KIUYU KWA MANDA,10:27 PM,10:34:30 AM,22:27:00,10:34:30,11:52:30,00:07:30,8,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,4,,,,40,,127.4,28.3,10.0,2656.0,0.1,,Still,0,>1,3,Normal,3,High,Dry,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,1,sweat poatatoes and casava,,,,,,,,n,0,0,0,0,0,,,,,,,,,,,0,1.1,1.9,0,0,0,0,2,0,0,1.9,4.2,0.9,0,0,0,0,1.64,57.8
1614,,Kwamwanazabadi_24.11.2011,Kwamwanazabadi,382691,MSUKA MAGHARIBI,,,2011,11,11_2011,24.11.2011,24/11/2011,1,1,Pemba,MSUKA MAGHARIBI,KWAMWANAZABADI,KWAMWANAZABADI,POND,,POND,zlarge pond,zlarge pond,,permanent,,permanent,permanent,0,,-4.935583333,39.71983333,-4.935583333,39.71983333,-4.935583333,39.71983333,-4.935583333,39.71983333,,,,KIUYU KWA MANDA,1.05,1.2,01:12:00,04:48:00,03:36:00,00:15:00,15,mismatch time sampling/time in- error in excel transformation,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,44,,11.7,35.1,7.0,25.3,0.0,,Still,0,>1,3,Flooded,4,High,Rainy,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,n,0,0,0,0,0,,,,,,,,,,,0,1.1,1.9,0,0,0,0,2,0,0,1.9,4.2,0.9,0,0,0,0,1.64,399.2
1629,,Kwamwanazabadi_28.09.2015,Kwamwanazabadi,382691,MSUKA MAGHARIBI,,,2015,9,9_2015,28.09.2015,28/09/2015,38,16,Pemba,MSUKA MAGHARIBI,LWAMWANAZABADI,KWAMWANAZABADI,POND,,POND,zlarge pond,zlarge pond,,permanent,,permanent,permanent,0,,-4.93552,39.71985,-4.93552,39.71985,S 04 56. 131,039 43. 191,S 04.56.131,E 039.43.191,,,,KIUYU KWA MANDA,11:54 AM,12:01:30 PM,11:54:00,12:01:30,00:07:30,00:07:30,8,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,4,,,,43,,41.0,,9.8,866.0,0.0,,Still,0,>1,3,Normal,3,Low,Dry,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,,1,1,0,0,0,0,0,1,0,0,0,,1,1,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,n,0,0,0,0,0,,,,,,,,,,,0,1.1,1.9,0,0,0,0,2,0,0,1.9,4.2,0.9,0,0,0,0,1.64,39
1630,,Kwamwanazabadi_02.12.2015,Kwamwanazabadi,382691,MSUKA MAGHARIBI,,,2015,12,12_2015,02.12.2015,02/12/2015,41,17,Pemba,MSUKA MAGHARIBI,KWAMWANAZABADI,KWAMWANAZABADI,RICE PADDY,,POND,zlarge pond,zlarge pond,,permanent,,permanent,permanent,1,,-4.9355,39.71985,-4.9355,39.71985,S 04 56. 130,039 43. 191,S 04.56.130,E 039.43.191,,,,KIUYU KWA MANDA,11:52 AM,12:02 PM,11:52:00,12:02:00,00:10:00,00:10:00,10,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,3,,,,36,,17.2,,10.1,37.2,0.0,,Still,0,>1,3,Normal,3,High,,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,1,1,0,0,1,,,,,,,,,,n,0,0,0,0,0,,,,,,,,,,,0,1.1,1.9,0,0,0,0,2,0,0,1.9,4.2,0.9,0,0,0,0,1.64,162
1624,,Kwamwanazabadi_09.10.2014,Kwamwanazabadi,382691,MSUKA MAGHARIBI,,,2014,10,10_2014,09.10.2014,09/10/2014,27,11,Pemba,MSUKA MAGHARIBI,KWAMWANA ZABADI,KWAMWANAZABADI,POND,,POND,zlarge pond,zlarge pond,,temporary,,permanent,permanent,0,,-4.93548,39.71983,-4.93548,39.71983,S 04 56. 129,039 43. 190,S 04.56.129,E 039.43.190,,,,KIUYU KWA MANDA,12:18 PM,12:25:30 PM,12:18:00,12:25:30,00:07:30,00:07:30,8,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,4,,,,40,,10.1,32.6,12.1,21.8,0.0,,Still,0,>1,3,Low,2,Low,Dry,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,,1,1,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,Ablution,,,,,,,,n,0,0,0,0,0,,,,,,,,,,,0,1.1,1.9,0,0,0,0,2,0,0,1.9,4.2,0.9,0,0,0,0,1.64,54.6
1615,,Kwamwanazabadi_09.08.2012,Kwamwanazabadi,382691,MSUKA MAGHARIBI,,,2012,8,8_2012,09.08.2012,09/08/2012,6,2,Pemba,MSUKA MAGHARIBI,KWAMWANAZABADI,KWAMWANAZABADI,,,POND,zlarge pond,zlarge pond,,permanent,,permanent,permanent,0,,-4.93545,39.71988,-4.93545,39.71988,S 04 56. 127,039 43. 193,04 56.127,039 43.193,,,,KIUYU KWA MANDA,3:30:00 PM,3:37:30 PM,15:30:00,15:37:30,00:07:30,00:07:30,8,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,4,,,,30,,21.3,24.6,6.8,45.5,0.0,,Still,0,>1,3,Low,2,High,Dry,,,,,,,,Multiple,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,multiple,0,0,0,0,0,0,0,0,0,0,0,0,,multiple,,,,,,,,n,0,0,0,0,0,,,,,,,,,,,0,1.1,1.9,0,0,0,0,2,0,0,1.9,4.2,0.9,0,0,0,0,1.64,29.8
1619,,Kwamwanazabadi_15.07.2013,Kwamwanazabadi,382691,MSUKA MAGHARIBI,,,2013,7,7_2013,15.07.2013,15/07/2013,14,6,Pemba,MSUKA MAGHARIBI,KWAMWANAZABADI,KWAMWANAZABADI,POND,,POND,zlarge pond,zlarge pond,,temporary,,permanent,permanent,0,,-4.93542,39.71988,-4.93542,39.71988,S 04 56. 125,039 43. 193,S04.56.125,E039.43.193,,,,KIUYU KWA MANDA,12:50:00,13:05:00,12:50:00,13:05:00,00:15:00,00:15:00,15,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,2,OMAR SAID ABEID,MSANIF OTHMAN,,43,,24.2,30.4,7.5,51.7,0.0,,Still,0,>1,3,Normal,3,High,Rainy,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1,0,0,0,,0,1,1,0,0,0,1,1,0,0,0,1,,,,,,,,,,n,0,0,0,0,0,,,,,,,,,,,0,1.1,1.9,0,0,0,0,2,0,0,1.9,4.2,0.9,0,0,0,0,1.64,6.1
1625,,Kwamwanazabadi_22.11.2014,Kwamwanazabadi,382691,MSUKA MAGHARIBI,,,2014,11,11_2014,22.11.2014,22/11/2014,28,12,Pemba,MSUKA MAGHARIBI,KWAMWANAZABADI,KWAMWANAZABADI,POND,,POND,zlarge pond,zlarge pond,,permanent,,permanent,permanent,0,,-4.93542,39.71988,-4.93542,39.71988,S 04 56. 125,039 43. 193,S 04.56.125,E 039.43.193,,,,KIUYU KWA MANDA,11:14 AM,11:21:30 min,11:14:00,11:21:30,00:07:30,00:07:30,8,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,4,,,,30,,11.3,33.5,10.2,24.9,0.0,,Still,0,>1,3,Low,2,High,Dry,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,1,1,1,0,1,1,Ablution,,,,,,,,n,0,0,0,0,0,,,,,,,,,,,0,1.1,1.9,0,0,0,0,2,0,0,1.9,4.2,0.9,0,0,0,0,1.64,284.4
1839,,Kwamwanazabadi_22.11.2014,Kwamwanazabadi,382691,MSUKA MAGHARIBI,duplicate of 1625,no,2014,11,11_2014,22.11.2014,22/11/2014,28,1,Pemba,PIKI,KWAMWANAZABADI,KWAMWANAZABADI,POND,,POND,zlarge pond,zlarge pond,,permanent,,permanent,permanent,0,,-4.93542,39.71988,-4.93542,39.71988,S 04 56. 125,039 43. 193,S 04.56.125,E 039.43.193,,,,KIUYU KWA MANDA,11:14 AM,11:21:30 min,11:14:00,11:21:30,00:07:30,00:07:30,8,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,4,,,,30,,11.3,33.5,10.2,24.9,0.0,,Still,0,>1,3,Low,2,High,Dry,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,1,1,1,0,1,1,Ablution,,,,,,,,n,0,0,0,0,0,,,,,,,,,,,0,1.1,1.9,0,0,0,0,2,0,0,1.9,4.2,0.9,0,0,0,0,1.64,284.4
